commit	metric_value	resource_usage	status	hypothesis
f683dcc	1.528426	355.2	keep	baseline
79c85ce	1.425757	329.1	keep	Replace unordered_map with dense vector in remap_cluster_ids and maxNodeHeap
e35d815	1.426707	329.8	keep	Lazy reset for vertex_moved_hashtable
cf06cce	1.390273	325.0	keep	Direct contraction via counting sort (no complete_boundary, no partition save/restore)
21c8fc2	1.362309	311.8	keep	Hoist max_blocks vector outside LP refinement loop
f72cc86	1.378838	312.2	keep	Stack-allocate LP queues and boolean vectors
cc13299	1.365929	311.9	keep	Stack-allocate coarsening objects
c373c2e	1.352490	310.6	keep	Stack-allocate refinement objects
9decfee	1.339916	309.6	keep	Replace vector<bool> with vector<char> in LP queues
b19650d	1.350010	310.7	keep	Reserve capacity for FM vectors
6a846db	1.377466	311.4	discard	Pre-size maxNodeHeap - upfront alloc wastes time
41e405d	1.380052	312.8	discard	Software prefetching - overhead exceeds benefit
5a1af07	1.367826	311.7	discard	Reuse contraction buffers - no improvement
aab4041	1.382211	310.7	discard	vector<char> in contraction - no improvement
9c7ea1a	1.369632	310.6	discard	Devirtualize FM queue - slight regression
d166e01	1.355954	310.4	discard	Eliminate PartitionConfig copy - within noise
b02db57	1.368664	312.1	discard	Simplify relabeling loop - marginal regression
8f1838e	1.344103	310.0	keep	MADV_HUGEPAGE hints for LP arrays
502ff05	1.395175	311.4	discard	Skip m_local_degrees init - commons recreated per level anyway
ceb9beb	1.351653	310.2	discard	Cache block IDs - marginal regression from max-degree scan overhead
0089f5b	1.348563	308.2	keep	Cache block IDs in LP for degree<=32 (skip cluster_id lookups in sweeps 2-3)
859d930	1.330104	297.3	keep	Specialize LP sweep 2: iterate blk_cache only for unconstrained path
0dcf027	1.316309	295.8	discard	blk_cache in FM compute_gain - overhead hurts on coarse levels
97189b0	1.307162	295.9	keep	Cache partition IDs in LP constrained path
ec86900	1.258248	287.5	keep	tcmalloc_minimal via LD_PRELOAD
7b5981a	1.266551	288.3	keep	Link tcmalloc_minimal on Linux via CMake
